parameter,value,error
num_mamba_layers,1,daemonic processes are not allowed to have children
num_mamba_layers,2,daemonic processes are not allowed to have children
num_mamba_layers,4,daemonic processes are not allowed to have children
num_mamba_layers,8,daemonic processes are not allowed to have children
num_mamba_layers,16,daemonic processes are not allowed to have children
dropout_rate,0.0,daemonic processes are not allowed to have children
dropout_rate,0.25,daemonic processes are not allowed to have children
dropout_rate,0.5,daemonic processes are not allowed to have children
dropout_rate,0.75,daemonic processes are not allowed to have children
noise_level,0.0,daemonic processes are not allowed to have children
noise_level,0.1,daemonic processes are not allowed to have children
noise_level,0.2,daemonic processes are not allowed to have children
noise_level,0.3,daemonic processes are not allowed to have children
noise_level,0.5,daemonic processes are not allowed to have children
noise_level,0.7,daemonic processes are not allowed to have children
noise_level,1.0,daemonic processes are not allowed to have children
MFCC_transform,True,daemonic processes are not allowed to have children
MFCC_transform,False,daemonic processes are not allowed to have children
derivative,True,daemonic processes are not allowed to have children
derivative,False,daemonic processes are not allowed to have children
use_cls_token,True,daemonic processes are not allowed to have children
use_cls_token,False,daemonic processes are not allowed to have children
