trial,train_accuracy,test_accuracy,val_accuracy,model_size,model_path,d_state,d_conv,expand,batch_size,dropout_rate,num_mamba_layers,n_mfcc,n_fft,hop_length,n_mels,noise_level,shift,lr,weight_decay
0,88.26091195683968,90.40255277368679,91.65541452876046,81366,model_0.pth,24,7,4,31,0.5072906316621767,2,25,202,377,93,0.07919243073067801,145,0.0034939857347148265,6.762432610409554e-05
2,89.66492248691866,88.41433480608738,89.87307588441804,278538,model_2.pth,38,3,3,45,0.23904884359493583,4,24,670,240,46,0.03799330831299573,109,0.00010911822808292861,2.177794106976789e-05
4,86.6684000130001,88.0952380952381,89.03591682419659,248962,model_4.pth,50,4,2,42,0.06869475598161215,3,7,792,176,40,0.2938560737869749,131,0.003976859681347702,1.1349099488380131e-06
6,89.34967012252592,88.2179675994109,90.95328112341345,91816,model_6.pth,37,5,3,18,0.4127924845033227,4,26,465,502,84,0.08840946625709238,99,0.0037137978292483987,1.6658618100401644e-05
5,88.00091000682505,88.68433971526755,90.73724007561437,103612,model_5.pth,32,7,4,32,0.45580574297070464,4,26,488,547,96,0.07927348118966902,137,0.0008144868361571031,4.0238592496174624e-05
7,92.0569404270532,94.42808051055474,94.89603024574669,138623,model_7.pth,46,2,3,40,0.2948153466371499,1,24,486,168,40,0.1658972382688723,142,0.0031622417311808985,2.243185267316465e-05
8,91.111183333875,91.13892979872361,92.24952741020795,232768,model_8.pth,54,4,3,15,0.37422612702655217,3,13,676,243,41,0.16923912623219026,121,0.00022563081455647212,4.531209249814627e-05
12,92.91494686210146,93.22533136966126,94.30191736429921,107940,model_12.pth,34,15,3,19,0.3645502393155372,1,24,316,189,26,0.20625058674409727,17,0.00041866023527331044,8.556541015150424e-05
17,93.17494881211609,91.13892979872361,92.35754793410749,126026,model_17.pth,54,16,3,37,0.4357135808886795,1,16,336,185,76,0.02693752318651179,36,0.0006854837402061087,3.568377067315322e-05
29,90.90643179823849,91.31075110456554,92.49257358898191,90087,model_29.pth,39,15,2,16,0.05218483880985592,4,23,356,409,31,0.2039733148820492,143,0.004382649289444694,2.1222195258612082e-05
31,89.19366895251714,89.81345115365734,91.38536321901161,199050,model_31.pth,12,12,4,19,0.36080927955863484,2,22,541,204,72,0.28160016314359654,37,0.0033296652097860916,6.520821179805085e-05
25,88.61841463810978,89.78890525282277,90.73724007561437,68857,model_25.pth,44,3,4,16,0.31512515021724363,1,22,451,311,73,0.144789336989163,39,0.00015525589305416594,1.1208603943216708e-06
32,93.65920244401833,91.40893470790378,92.19551714825818,37010,model_32.pth,26,8,2,10,0.3009739737446499,2,17,510,418,27,0.02050923893340546,31,0.002061124145932689,3.5811499512945688e-06
38,92.1706912801846,91.62984781541482,93.2487172562787,5263516,model_38.pth,25,16,4,18,0.4087041139802304,4,14,585,52,95,0.2947500821510581,150,0.00013914552783847776,5.027315141400442e-06
39,89.937924534434,88.7825233186058,89.38698352687011,100114,model_39.pth,16,3,4,40,0.5769124896605137,3,15,349,390,21,5.040640791148521e-05,42,0.000485134775924351,2.6901616949920878e-05
43,91.12743345575092,90.35346097201767,92.08749662435862,570760,model_43.pth,30,13,3,14,0.6171520975670927,3,26,596,130,45,0.28803290519696295,36,0.00022920149875169725,1.5165986116170006e-06
103,88.39741298059735,88.11978399607266,89.38698352687011,69882,model_103.pth,26,8,2,37,0.3009739737446499,1,17,510,185,27,0.02050923893340546,31,0.00013852425248428302,1.2451624546961643e-05
106,92.57369430270727,93.0780559646539,93.73480961382663,187676,model_106.pth,35,3,2,25,0.1719756372477234,2,24,554,158,29,0.09602153968752712,70,0.003975902198094344,3.9370410093012416e-05
110,88.35841268809516,88.38978890525283,90.41317850391574,61157,model_110.pth,50,9,2,10,0.3009739737446499,2,17,477,349,87,0.02050923893340546,118,0.0006618528264444833,2.1082648389817577e-06
111,90.47417855633917,92.53804614629357,92.68160950580611,136489,model_111.pth,11,2,2,50,0.2948153466371499,2,7,563,168,40,0.14674120322919595,143,0.003301527119922705,2.82803365124585e-06
112,94.79346095095713,91.87530682376043,92.97866594652984,388710,model_112.pth,60,5,3,31,0.18233318600646353,2,24,657,141,74,0.10568534777860573,80,0.00029693770014117073,8.713792945082186e-06
117,94.18245636842276,94.10898379970546,94.22090197137456,206209,model_117.pth,19,10,4,39,0.23182330956822916,3,18,602,259,37,0.17924761160258953,118,0.0015395318215780849,1.6831520840999265e-05
118,89.81442360817707,89.29798723613156,90.33216311099109,319242,model_118.pth,55,15,2,63,0.18093831840871888,4,24,316,189,26,0.15842165145730144,107,0.0005047917121967016,8.383137730564371e-06
120,93.03194773960804,93.10260186548847,93.410748042128,131160,model_120.pth,24,15,4,31,0.3645502393155372,1,24,202,189,93,0.13605038964262126,17,0.0007915719298700282,1.037215582148978e-06
125,92.32669245019338,93.12714776632302,94.1398865784499,105360,model_125.pth,35,2,3,19,0.2948153466371499,1,24,486,189,40,0.20625058674409727,62,0.00048032253494615084,3.019090844549358e-05
116,88.03666027495206,90.5252822778596,91.5743991358358,213510,model_116.pth,32,4,4,41,0.6344973160886327,4,26,566,330,65,0.0831960481560234,137,0.00020910418234745378,1.2283648628071698e-05
132,90.92593194448958,92.31713303878253,92.27653254118283,199000,model_132.pth,42,2,4,63,0.494460548557066,4,18,490,372,26,0.11417502296862225,82,0.0016997543211159875,4.466992345637916e-05
129,90.27267704507784,90.279823269514,90.89927086146368,409800,model_129.pth,34,15,3,16,0.3645502393155372,4,23,316,189,31,0.1270283035989919,143,0.0002061888430332253,2.8157611032729668e-05
133,85.10838831291235,88.02160039273441,90.19713745611666,76490,model_133.pth,11,9,4,19,0.5102730527366967,4,18,490,526,42,0.23510497969932953,103,0.00027097460842689697,1.0668447493493415e-06
130,93.76970327277455,93.42169857633775,93.84283013772617,183320,model_130.pth,45,5,3,41,0.4495014942983145,1,23,566,141,65,0.0831960481560234,25,0.0003945247768108095,4.7258045559684044e-05
128,98.26773700802757,93.12714776632302,93.5997839589522,9849798,model_128.pth,16,4,4,42,0.06869475598161215,2,26,556,26,61,0.0831960481560234,42,0.00024673095707959853,1.7237344669132275e-06
138,89.70717280379603,89.24889543446244,90.81825546853902,133093,model_138.pth,44,3,4,16,0.20037584846271606,2,19,451,311,95,0.144789336989163,80,0.00467307043040496,4.5266864567572106e-05
131,93.3797003477526,92.78350515463917,94.1398865784499,4952669,model_131.pth,16,4,4,53,0.16929778454669836,1,26,623,26,61,0.11676534131951194,128,0.0001471595461470315,1.4909577808839843e-05
137,92.38194286457149,91.16347569955818,92.22252227923306,167968,model_137.pth,35,5,4,36,0.13101249777546337,4,21,683,398,58,0.08554498414313912,146,0.0005769096364990243,2.116151399453754e-05
142,84.61763463225974,88.16887579774178,88.8468809073724,29684,model_142.pth,21,6,4,34,0.5137868585624563,1,11,631,452,23,0.11676534131951194,41,0.0008870537557345797,2.6386027267989502e-06
145,89.0116675875069,88.83161512027492,90.73724007561437,54322,model_145.pth,35,3,2,25,0.1719756372477234,4,24,353,537,95,0.09602153968752712,70,0.003621295734621812,1.2381851207078323e-06
139,90.18817641132308,90.86892488954345,92.06049149338374,531760,model_139.pth,24,3,3,49,0.3993171422733984,3,6,596,130,45,0.13708370639475892,145,0.0007689193957015036,9.50298446454647e-06
151,93.03844778835841,91.31075110456554,92.03348636240885,252556,model_151.pth,35,6,2,14,0.6192736220944515,3,10,325,166,95,0.047697953805158476,8,0.002306201521135727,8.045255108503788e-06
148,95.0469628522214,91.85076092292587,92.97866594652984,3217685,model_148.pth,45,9,4,41,0.6804609239413877,2,13,477,48,21,0.0831960481560234,25,0.0002624085164140355,6.264491779060227e-06
149,92.15769118268388,90.84437898870888,92.43856332703214,34625,model_149.pth,31,9,3,31,0.18233318600646353,1,24,505,387,74,0.10568534777860573,32,0.0009658807395616847,3.0138617023012384e-05
144,94.07845558841692,94.62444771723122,94.76100459087226,5043985,model_144.pth,31,5,4,45,0.16929778454669836,1,14,736,26,61,0.2287592665063732,149,0.0005122427951768302,1.513480120454523e-06
153,84.42913321849913,88.63524791359843,90.52119902781529,24170,model_153.pth,11,11,3,40,0.4581229593539866,1,24,486,418,25,0.1658972382688723,142,0.0026713925138016413,3.6820569699693885e-06
152,92.73619552146641,93.59351988217968,93.73480961382663,469210,model_152.pth,45,4,4,62,0.16929778454669836,2,14,623,141,64,0.0831960481560234,80,0.003005116668655921,2.4665106127051817e-05
154,90.60417953134649,89.24889543446244,91.60140426681069,28561,model_154.pth,35,6,2,32,0.13101249777546337,2,21,205,537,42,0.08554498414313912,25,0.004687782832086906,4.648512076912235e-05
150,94.07845558841692,92.04712812960236,92.78963002970565,302830,model_150.pth,62,3,2,37,0.11571891768532246,3,25,554,166,93,0.09602153968752712,111,0.00042453537289812685,1.1328813067702898e-06
158,90.61717962884721,91.18802160039273,92.3305428031326,85564,model_158.pth,35,5,4,36,0.27860484401959584,2,21,537,398,42,0.09095042213015031,103,0.005021064160240413,5.547424614367101e-05
163,94.76421073158049,93.29896907216495,93.38374291115312,112754,model_163.pth,10,15,3,45,0.27860484401959584,2,24,218,240,64,0.03799330831299573,25,0.004614379431017605,3.0943591342956513e-05
161,89.85992394942961,91.92439862542955,92.62759924385634,145738,model_161.pth,50,12,2,53,0.6549173835934947,3,24,792,258,40,0.2118364387623926,117,0.0006728525020286717,1.4094210589032309e-05
168,89.00191751438136,88.38978890525283,90.38617337294086,171466,model_168.pth,28,6,3,52,0.16045002945950854,3,9,736,256,95,0.14206872976864163,146,0.0012173785409795711,3.057398525462605e-06
166,88.75166563749228,88.24251350024547,90.81825546853902,257560,model_166.pth,32,7,2,53,0.6528860488984692,4,10,478,192,96,0.15842165145730144,69,0.0006468904138864911,4.0152536085110884e-06
175,90.46442848321362,91.75257731958763,92.8706454226303,386218,model_175.pth,32,7,4,34,0.6192736220944515,4,12,558,226,79,0.23806342564844157,69,0.003978623734201375,1.8856049690954124e-05
174,91.30943482076115,90.00981836033382,91.52038887388603,332275,model_174.pth,16,4,4,58,0.06869475598161215,3,10,478,192,44,0.17850095522006038,107,0.0003618627159531314,1.2683494847234295e-05
177,89.34967012252592,88.07069219440353,89.44099378881988,167338,model_177.pth,35,16,2,37,0.1719756372477234,4,24,554,260,86,0.1622467655152153,70,0.00022537093462228226,8.259945630664617e-05
172,88.50791380935357,89.7152675503191,91.49338374291115,77962,model_172.pth,29,2,2,25,0.3122291682859156,2,12,604,258,29,0.23806342564844157,69,0.00020946792229926535,7.53751736976316e-05
178,87.83515876369073,88.36524300441826,90.06211180124224,234399,model_178.pth,50,9,4,40,0.6575598605560996,4,9,736,349,87,0.05419800796857788,146,0.000942888327576876,9.784879508588582e-05
184,89.40167051252884,89.69072164948453,91.16932217121253,107650,model_184.pth,27,16,4,59,0.3122291682859156,3,23,336,424,95,0.2623814744866993,49,0.001141278870176042,1.4942113174615736e-05
187,87.75390815431116,91.06529209621993,92.30353767215772,26938,model_187.pth,31,9,3,18,0.32107393616222335,1,26,764,460,75,0.23510497969932953,31,0.003132801197102691,1.3448894957970128e-05
185,90.56842926321947,89.05252822778596,90.76424520658925,473465,model_185.pth,45,9,4,62,0.27860484401959584,2,13,477,141,64,0.09095042213015031,80,0.00015649206112228317,8.785947544361468e-05
195,91.56293672202541,89.9607265586647,91.97947610045908,131202,model_195.pth,49,12,4,47,0.39018782667639007,4,24,554,547,29,0.07927348118966902,117,0.001499081878743757,7.215939722179682e-05
193,92.0764405733043,90.91801669121257,92.08749662435862,146572,model_193.pth,32,7,4,32,0.2428965012920687,4,26,554,424,27,0.07927348118966902,146,0.00048482626734835,8.046949112548007e-06
201,93.03194773960804,88.56161021109475,90.46718876586552,116632,model_201.pth,35,5,4,36,0.13101249777546337,4,10,683,504,40,0.08554498414313912,11,0.004306588478366326,4.236685453551538e-06
204,85.52114140856057,89.32253313696613,90.95328112341345,50943,model_204.pth,40,4,3,16,0.5843709195625831,1,22,299,311,64,0.144789336989163,80,0.000373826733678754,3.4567997932378195e-05
