trial_number, d_state, d_conv, expand, batch_size, dropout_rate        , num_mamba_layers, n_mfcc, n_fft, hop_length, n_mels, noise_level         , shift, lr                    , weight_decay          , train_accuracy    , test_accuracy     , val_accuracy      , model_size, epochs_to_converge, model_path
           4,      28,      7,      2,         31, 0.3235025767623647  ,                3,     21,   596,        540,     32, 0.14299158076520507 ,    46, 0.0005092132517320984 , 5.575097985577682e-05 , 84.42263316974878 , 86.05792832596957 , 87.87469619227653 ,      37954,                 46, best_model_trial_4.pt
          11,      12,      8,      2,         30, 0.18882824215892302 ,                2,     22,   424,        504,     33, 0.12448356198006766 ,    45, 0.005868321108018236  , 3.792681468527237e-05 , 90.36042770320778 , 90.62346588119784 , 92.03348636240885 ,      22714,                 50, best_model_trial_11.pt
           7,      26,      6,      3,         19, 0.13409878827910687 ,                1,      8,   369,        483,     20, 0.10311385391188906 ,    28, 0.0006853010126848048 , 2.935231205057069e-06 , 88.03341025057688 , 86.57339224349533 , 88.38779368079935 ,      22095,                 56, best_model_trial_7.pt
          28,      22,      3,      4,         18, 0.09454955852099989 ,                2,     25,   580,        560,     41, 0.034110647302616946,    97, 0.0032154053008734296 , 6.007355293255142e-06 , 90.28242711820339 , 89.29798723613156 , 91.43937348096138 ,      42520,                 27, best_model_trial_28.pt
          41,      32,      3,      3,         30, 0.4991285122001464  ,                1,     11,   527,        368,     34, 0.015822632828297035,    67, 0.006340198940296007  , 1.5413468079429184e-06, 40.43680327602457 , 54.27098674521355 , 55.60356467728869 ,      34885,                 13, best_model_trial_41.pt
          42,      16,      6,      3,         16, 0.14888976502132645 ,                2,     10,   447,        562,     69, 0.030550066901740648,    23, 0.005552444475362852  , 2.168490977320712e-06 , 86.10939582046865 , 84.02061855670104 , 85.25519848771266 ,      28510,                 16, best_model_trial_42.pt
          43,       9,      8,      2,         32, 0.35229388038128423 ,                3,     27,   323,        105,     35, 0.1404915536918465  ,    93, 0.0010935382053406887 , 9.957457594884688e-06 , 96.22672170041275 , 95.11536573392243 , 95.27410207939508 ,     495274,                 38, best_model_trial_43.pt
          46,      16,      5,      2,         18, 0.19659400946902117 ,                4,     22,   405,         74,     46, 0.13486618238932566 ,    38, 0.009235133156012461  , 2.450161292624517e-06 ,  9.86382397867984 , 10.284732449680904, 10.721036997029435,    1304958,                  6, best_model_trial_46.pt
          51,      27,      2,      4,         14, 0.039969115420381895,                2,     21,   312,        597,     58, 0.09128951165434845 ,     5, 0.001222775974809439  , 1.4340921187921225e-06, 89.89892424193181 , 88.24251350024547 , 89.33297326492034 ,      41142,                 26, best_model_trial_51.pt
          54,      13,      8,      3,         15, 0.11742924833284085 ,                4,     18,   479,        432,     51, 0.024347913380588393,    81, 0.0006238940807952869 , 1.5309647935548205e-06, 93.10019825148689 , 88.75797741777123 , 91.11531190926276 ,      83704,                 29, best_model_trial_54.pt
          57,      12,      7,      2,         32, 0.4533948547991385  ,                2,     30,   374,        236,     33, 0.17006406546843558 ,    58, 0.0069279617935406705 , 5.021677867932388e-06 , 83.65562741720562 , 81.34511536573392 , 83.52687010532001 ,      79774,                 12, best_model_trial_57.pt
          60,       8,      5,      2,         30, 0.3931769504106548  ,                3,     29,   457,        241,     34, 0.08922780393673588 ,    97, 0.005021325855905256  , 8.764644332737319e-05 , 85.69339270044526 , 87.01521845851742 , 88.8468809073724  ,     107314,                 18, best_model_trial_60.pt
          61,      15,      6,      2,         32, 0.29677501701810877 ,                2,     11,   403,        528,     39, 0.11206953306946013 ,    30, 0.004454646120914977  , 4.771324259749945e-05 , 88.8426663199974  , 88.04614629356898 , 90.52119902781529 ,      21226,                 45, best_model_trial_61.pt
          58,      22,      6,      2,         32, 0.29762897161370866 ,                3,     30,   315,        327,     43, 0.16440670249864237 ,    92, 0.001973362964258189  , 8.080650709404287e-06 , 94.04595534466509 , 94.5753559155621  , 94.6799891979476  ,      75160,                 62, best_model_trial_58.pt
          63,       8,      8,      2,         24, 0.39497745502900444 ,                3,     25,   319,        380,     43, 0.07730429501436556 ,    23, 0.009683342507123997  , 2.9443215907586134e-05, 10.185576391822938,  9.965635738831615, 10.180934377531731,      49642,                  7, best_model_trial_63.pt
